threads,local,global,diff
129,5.28289e+07,6.88017e+09,130.235
130,5.4515e+07,6.93071e+09,127.134
131,5.53981e+07,6.98396e+09,126.069
132,5.52359e+07,7.03859e+09,127.428
133,5.49911e+07,7.09346e+09,128.993
134,5.54161e+07,7.15036e+09,129.03
135,5.55192e+07,7.20332e+09,129.745
136,5.5423e+07,7.25866e+09,130.968
137,5.23784e+07,7.31251e+09,139.609
138,5.37973e+07,7.35095e+09,136.642
139,5.45481e+07,7.4185e+09,135.999
140,5.44414e+07,7.47318e+09,137.27
141,5.80934e+07,7.52661e+09,129.56
142,5.5019e+07,7.57871e+09,137.747
143,5.48188e+07,7.63289e+09,139.239
144,5.4756e+07,7.68636e+09,140.375
145,5.22144e+07,7.73858e+09,148.208
146,5.35636e+07,7.7915e+09,145.463
147,5.43249e+07,7.84433e+09,144.397
148,5.41596e+07,7.89894e+09,145.846
149,5.41304e+07,7.95151e+09,146.895
150,5.51361e+07,8.00551e+09,145.196
151,5.45199e+07,8.05989e+09,147.834
152,5.42427e+07,8.09605e+09,149.256
153,5.23942e+07,8.14847e+09,155.523
154,5.35191e+07,8.20336e+09,153.279
155,5.42506e+07,8.25655e+09,152.193
156,5.6172e+07,8.30881e+09,147.917
157,5.40983e+07,8.36455e+09,154.618
158,5.54831e+07,8.41687e+09,151.702
159,5.44034e+07,8.46934e+09,155.677
160,5.44205e+07,8.52361e+09,156.625
161,5.27213e+07,8.57649e+09,162.676
162,5.35746e+07,8.6304e+09,161.091
163,5.4239e+07,8.68244e+09,160.077
164,5.43013e+07,8.73437e+09,160.85
165,5.41513e+07,8.79025e+09,162.328
166,5.45127e+07,8.84227e+09,162.206
167,5.50129e+07,8.89664e+09,161.719
168,5.46978e+07,8.95142e+09,163.652
169,5.28706e+07,9.00348e+09,170.293
170,5.38899e+07,9.05667e+09,168.059
171,5.44417e+07,9.11009e+09,167.337
172,5.42642e+07,9.1633e+09,168.865
173,5.41868e+07,9.2172e+09,170.101
174,5.44809e+07,9.27024e+09,170.156
175,5.46245e+07,9.32196e+09,170.655
176,5.45002e+07,9.37481e+09,172.014
177,5.47855e+07,9.42984e+09,172.123
178,5.39556e+07,9.48398e+09,175.774
179,5.43363e+07,9.5362e+09,175.503
180,5.4396e+07,9.59051e+09,176.309
181,5.43406e+07,9.64391e+09,177.472
182,5.5171e+07,9.69749e+09,175.772
183,5.47888e+07,9.7504e+09,177.964
184,5.67072e+07,9.80453e+09,172.898
185,5.34554e+07,9.85641e+09,184.386
186,5.40771e+07,9.90805e+09,183.221
187,5.46133e+07,9.96383e+09,182.443
188,5.71638e+07,1.00164e+10,175.222
189,5.45787e+07,1.00717e+10,184.535
190,5.53628e+07,1.0123e+10,182.848
191,5.47679e+07,1.01772e+10,185.825
192,5.46835e+07,1.02289e+10,187.057
193,5.33788e+07,1.02817e+10,192.618
194,5.43222e+07,1.03338e+10,190.232
195,5.48826e+07,1.03891e+10,189.296
196,5.47303e+07,1.04408e+10,190.768
197,5.47181e+07,1.04927e+10,191.76
198,5.67917e+07,1.05483e+10,185.736
199,5.51309e+07,1.0603e+10,192.323
200,5.49788e+07,1.0653e+10,193.766
201,5.38472e+07,1.07101e+10,198.899
202,5.46884e+07,1.07628e+10,196.803
203,5.51197e+07,1.08157e+10,196.221
204,5.50199e+07,1.087e+10,197.565
205,5.4855e+07,1.09235e+10,199.134
206,5.5683e+07,1.09759e+10,197.115
207,5.52583e+07,1.10299e+10,199.606
208,5.52567e+07,1.10809e+10,200.535
209,5.4093e+07,1.11347e+10,205.845
210,5.48619e+07,1.11882e+10,203.935
211,5.53319e+07,1.12404e+10,203.144
212,5.53184e+07,1.12942e+10,204.168
213,5.52117e+07,1.13483e+10,205.543
214,5.63424e+07,1.14032e+10,202.39
215,5.54903e+07,1.14536e+10,206.408
216,5.52379e+07,1.15083e+10,208.341
217,5.43632e+07,1.15591e+10,212.628
218,5.50186e+07,1.16122e+10,211.06
219,5.53319e+07,1.16693e+10,210.896
220,5.55225e+07,1.17183e+10,211.055
221,5.53454e+07,1.17716e+10,212.693
222,5.6446e+07,1.18281e+10,209.547
223,5.5671e+07,1.188e+10,213.396
224,5.56607e+07,1.19341e+10,214.408
225,5.43351e+07,1.19882e+10,220.634
226,5.49116e+07,1.20395e+10,219.253
227,5.55303e+07,1.20947e+10,217.804
228,5.57605e+07,1.21483e+10,217.866
229,5.5565e+07,1.2201e+10,219.58
230,5.65546e+07,1.22561e+10,216.713
231,5.56225e+07,1.23047e+10,221.219
232,5.56681e+07,1.23594e+10,222.019
233,5.47358e+07,1.24119e+10,226.761
234,5.53458e+07,1.24651e+10,225.223
235,5.56546e+07,1.2518e+10,224.923
236,5.57877e+07,1.25746e+10,225.402
237,5.61357e+07,1.26216e+10,224.841
